Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2646927374,2700558659,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19362642267,20191764940,19362969582
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.01E+11,1.22E+11,1.06E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11861352705,13025062196,15058879129
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2877311947,3013387424,3236543909
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.51E+12,2.59E+12,2.78E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,3.57E+11,3.83E+11,4.14E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.58E+11,6.43E+11,5.18E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546135160,11527458566,12433089919
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,653000000,634000000,
Antigua & Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1464630213,1510084751,1623804016
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.21E+12,1.33E+12,1.43E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.94E+11,4.17E+11,4.56E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37867518957,40865558912,46939529412
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2959185295,3172416146,3078029929
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,4.70E+11,4.95E+11,5.32E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,8573159697,9246696924,10358985583
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10886363727,12322864245,14441763759
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,2.21E+11,2.50E+11,2.74E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,53240950226,58220973783,65132951116
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32250132979,35432686170,37746196809
Bahamas,BHS,GDP (current US$),NY.GDP.MKTP.CD,11838800000,12162100000,
Bosnia-Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,16913330694,18080118128,19781776101
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47722657821,54726595249,59662495092
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1806646250,1862614800,1925000000
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126194,37508642258,40287647757
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.80E+12,2.05E+12,1.87E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4529050000,4673500000,
Brunei,BRN,GDP (current US$),NY.GDP.MKTP.CD,11400653949,12128089000,13567099498
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2219675781,2528007911,2534965163
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15646323341,17406565823,18616018903
