Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018
Aruba,ABW,"Population, total",SP.POP.TOTL,104872,105366,105845
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35383128,36296400,37172386
Angola,AGO,"Population, total",SP.POP.TOTL,28842484,29816748,30809762
Albania,ALB,"Population, total",SP.POP.TOTL,2876101,2873457,2866376
Andorra,AND,"Population, total",SP.POP.TOTL,77297,77001,77006
Arab World,ARB,"Population, total",SP.POP.TOTL,404024433,411898965,419790588
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9360980,9487203,9630959
Argentina,ARG,"Population, total",SP.POP.TOTL,43590368,44044811,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,2936146,2944809,2951776
American Samoa,ASM,"Population, total",SP.POP.TOTL,55741,55620,55465
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94527,95426,96286
Australia,AUS,"Population, total",SP.POP.TOTL,24190907,24601860,24992369
Austria,AUT,"Population, total",SP.POP.TOTL,8736668,8797566,8847037
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9757812,9854033,9942334
Burundi,BDI,"Population, total",SP.POP.TOTL,10487998,10827024,11175378
Belgium,BEL,"Population, total",SP.POP.TOTL,11331422,11375158,11422068
Benin,BEN,"Population, total",SP.POP.TOTL,10872067,11175204,11485048
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,18646378,19193284,19751535
Bangladesh,BGD,"Population, total",SP.POP.TOTL,157970840,159670593,161356039
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7127822,7075947,7024216
Bahrain,BHR,"Population, total",SP.POP.TOTL,1425791,1494074,1569439
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,377931,381761,385640
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3386267,3351527,3323929
Belarus,BLR,"Population, total",SP.POP.TOTL,9501534,9498264,9485386
Belize,BLZ,"Population, total",SP.POP.TOTL,368400,375769,383071
